type,message
ham,Hi just checking in to see how you're doing. Let's catch up soon.
ham,Hey are you free for lunch tomorrow? Let's meet up at the usual spot. 
spam,Subject: Get Rich Quick! Hello I hope this email finds you well. I wanted to reach out and let you know about an amazing opportunity to make some serious money from the comfort of your own home. With this incredible system you can earn up to $10000 a week with very little effort! All you have to do is sign up for our exclusive program and start following our proven system for success. We provide you with all the training and support you need to start earning money right away and our members have already made thousands of dollars in just a few short weeks. Don't wait any longer to start living the life of your dreams. Sign up today and start earning money immediately! Sincerely John Doe CEO Get Rich Quick Inc.
spam,"Subject: Special Offer for You!

Dear valued customer,

We are excited to offer you a limited-time special discount on our amazing product. Our product is the best on the market and has helped thousands of customers achieve their goals. Don't miss out on this incredible opportunity to save big on your purchase!

To take advantage of this amazing offer, simply click the link below and enter your special discount code at checkout:

[LINK]

This offer won't last long, so act fast and take advantage of this amazing deal. And don't forget to tell your friends and family about our amazing product ï¿½ they won't want to miss out on this special offer either!

Thank you for your business and we look forward to serving you again in the future.

Sincerely,

The Sales Team"
spam,You have won a free iPhone! Just enter your information to claim your prize.
spam,"Subject: Urgent Request - Please Verify Your Account

Dear Valued Customer,

We are writing to inform you that there is an urgent issue with your account. It appears that there may have been unauthorized access to your account, and we need to verify your information in order to prevent further fraud.

To ensure the security of your account, please click on the following link to verify your account information:

[link to a suspicious website]

Once you have verified your account, your access will be restored and you can continue to use our services as normal.

Thank you for your prompt attention to this matter.

Sincerely,

The Customer Service Team"
spam,"We are writing to inform you about an exciting opportunity that you won't want to miss! We have a limited-time offer on our exclusive range of products that are guaranteed to change your life.

With our products, you can look and feel younger, lose weight, and have more energy than ever before. Our customers have seen incredible results, and we want you to experience the same benefits.

But don't wait - this offer won't last forever. Act now and take advantage of our amazing deals!"
